ID,Name,Description,Icon,Level{Item}
36,Allagan Tomestone of Mendacity,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on untruths gathered by the lost Allagan Empire.",65062,1
37,Allagan Tomestone of Genesis,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on creation gathered by the lost Allagan Empire.",65065,1
38,Allagan Tomestone of Goetia,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on demonology gathered by the lost Allagan Empire.",65066,1
39,Allagan Tomestone of Phantasmagoria,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on the fantastic gathered by the lost Allagan Empire.",65067,1
40,Allagan Tomestone of Allegory,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on allegories gathered by the lost Allagan Empire.",65075,1
41,Allagan Tomestone of Revelation,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on allegories gathered by the lost Allagan Empire.",65083,1
42,Allagan Tomestone of Aphorism,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable principles gathered by the lost Allagan Empire.",65085,1
43,Allagan Tomestone of Astronomy,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on the sea of stars gathered by the lost Allagan Empire.",65086,1
44,Allagan Tomestone of Causality,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on the nature of cause and effect gathered by the lost Allagan Empire.",65094,1
45,Allagan Tomestone of Comedy,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of uplifting narrative poetry gathered by the lost Allagan Empire.",65103,1
46,,,0,0
47,,,0,0
48,,,0,0
49,,,0,0
50,,,0,0
51,,,0,0
52,,,0,0
53,,,0,0
54,,,0,0
55,,,0,0
56,,,0,0
57,,,0,0
58,,,0,0
59,,,0,0
60,,,0,0
61,,,0,0
62,,,0,0
63,,,0,0
64,,,0,0
65,,,0,0
66,,,0,0
67,,,0,0
68,,,0,0
69,,,0,0
70,,,0,0
71,,,0,0
72,,,0,0
73,,,0,0
74,,,0,0
75,,,0,0
76,,,0,0
77,,,0,0
78,,,0,0
79,,,0,0
80,,,0,0
81,,,0,0
82,,,0,0
83,,,0,0
84,,,0,0
85,,,0,0
86,,,0,0
87,,,0,0
88,,,0,0
89,,,0,0
90,,,0,0
91,,,0,0
92,,,0,0
93,,,0,0
94,,,0,0
95,,,0,0
96,,,0,0
97,,,0,0
98,,,0,0
99,,,0,0
100,Dated Bronze Gladius,,30409,6
101,Dated Bronze Dagger,,30411,9
102,Dated Bronze Spatha,,30401,11
103,Dated Blinding Dagger,,30414,14
104,Dated Silencing Dagger,,30414,14
105,Dated Brass Gladius,,30403,16
106,Dated Brass Dagger,,30413,19
107,Dated Paralyzing Dagger,,30414,24
108,Dated Sleeping Dagger,,30414,24
109,Dated Ash Macuahuitl,,30417,25
110,Dated Iron Gladius,,30410,26
111,Dated Iron Dagger,,30412,29
112,Dated Iron Spatha,,30402,31
113,Dated Maddening Dagger,,30414,34
114,Dated Poison Dagger,,30414,34
115,Dated Elm Macuahuitl,,30419,35
116,Dated Bee Spatha,,30404,36
117,Dated Iron Falchion,,30415,38
118,Dated Iron Shortsword,,30405,42
119,Dated Walnut Macuahuitl,,30418,45
120,Dated Iron Longsword,,30420,46
121,Dated Toothed Falchion,,30416,48
122,Dated Plumed Walnut Macuahuitl,,30424,48
123,Dated Oak Macuahuitl,,30423,49
124,Dated Bone Hora,,31005,6
125,Dated Leather Himantes,,31008,9
126,Dated Bronze Knuckles,,31013,13
127,Dated Dodoskin Cesti,,31009,19
128,Dated Brass Knuckles,,31015,23
129,Dated Tortoiseshell Hora,,31006,26
130,Dated Toadskin Cesti,,31012,29
131,Dated Spiked Knuckles,,31014,33
132,Dated Boarskin Himantes,,31010,39
133,Dated Iron Baghnakhs,,31001,42
134,Dated Crabshell Hora,,31007,46
135,Dated Smothering Baghnakhs,,31001,47
136,Dated Disabling Baghnakhs,,31001,47
137,Dated Peiste Cesti,,31011,49
138,Dated Jade Hora,,31016,50
139,Dated Bronze War Axe,,31401,6
140,Dated Bronze Labrys,,31403,10
141,Dated Spiked Bronze Labrys,,31405,20
142,Dated Storm Axe,,31407,21
143,Dated Iron War Axe,,31402,26
144,Dated Iron Labrys,,31404,30
145,Dated Spiked Iron Labrys,,31406,35
146,Dated Inferno Axe,,31408,36
147,Dated Iron Bhuj,,31410,38
148,Dated Bronze Bardiche,,31412,42
149,Dated Iron Bill,,31416,42
150,Dated Thunderstorm Axe,,31413,46
151,Dated Engraved Bhuj,,31411,48
152,Dated Bronze Spear,,31806,6
153,Dated Harpoon,,31810,9
154,Dated Feathered Harpoon,,31811,14
155,Dated Brass Spear,,31815,16
156,Dated Iron Spear,,31807,26
157,Dated Iron Lance,,31803,28
158,Dated Tortoiseshell Harpoon,,31812,29
159,Dated Iron Guisarme,,31817,32
160,Dated Battle Fork,,31808,36
161,Dated Heavy Iron Lance,,31814,38
162,Dated Yarzonshell Harpoon,,31813,39
163,Dated Jarl's Guisarme,,31818,42
164,Dated Banneret Lance,,31804,48
165,Dated Iron Halberd,,31809,50
166,Dated Willow Shortbow,,32201,6
167,Dated Maple Longbow,,32205,8
168,Dated Elm Shortbow,,32202,11
169,Dated Cavalry Bow,,32210,14
170,Dated Wrapped Maple Longbow,,32207,18
171,Dated Plumed Willow Shortbow,,32203,21
172,Dated Willow Composite Bow,,32215,22
173,Dated Ironclad Cavalry Bow,,32211,24
174,Dated Ash Longbow,,32206,28
175,Dated Elm Velocity Bow,,32209,31
176,Dated Weevil Bow,,32218,32
177,Dated Armored Cavalry Bow,,32213,34
178,Dated Wrapped Ash Longbow,,32208,38
179,Dated Oak Composite Bow,,32214,42
180,Dated Yew Longbow,,32221,43
181,Dated Crab Bow,,32217,47
182,Dated Maple Wand,,32401,7
183,Dated Budding Maple Wand,,32403,12
184,Dated Maple Wand of Flames,,32405,17
185,Dated Maple Wand of Gales,,32406,17
186,Dated Maple Wand of Storms,,32407,17
187,Dated Maple Wand of Tremors,,32408,17
188,Dated Maple Wand of Tides,,32409,17
189,Dated Maple Wand of Frost,,32410,17
190,Dated Willow Wand,,32402,22
191,Dated Budding Willow Wand,,32412,27
192,Dated Willow Wand of Flames,,32405,32
193,Dated Willow Wand of Gales,,32406,32
194,Dated Willow Wand of Storms,,32407,32
195,Dated Willow Wand of Tremors,,32408,32
196,Dated Willow Wand of Tides,,32409,32
197,Dated Willow Wand of Frost,,32410,32
198,Dated Walnut Wand,,32411,37
199,Dated Budding Walnut Wand,,32404,42
200,Dated Walnut Wand of Flames,,32405,47
201,Dated Walnut Wand of Gales,,32406,47
202,Dated Walnut Wand of Storms,,32407,47
203,Dated Walnut Wand of Tremors,,32408,47
204,Dated Walnut Wand of Tides,,32409,47
205,Dated Walnut Wand of Frost,,32410,47
206,Dated Ash Cane,,32601,6
207,Dated Elm Cane,,32602,11
208,Dated Pine Crook,,32607,18
209,Dated Pastoral Elm Cane,,32603,21
210,Dated Plumed Pine Crook,,32608,23
211,Dated Mahogany Radical,,32612,25
212,Dated Oak Cane,,32604,31
213,Dated Flambeau Radical,,32615,35
214,Dated Yew Crook,,32609,38
215,Dated Sprouting Radical,,32614,38
216,Dated Pastoral Oak Cane,,32605,41
217,Dated Plumed Yew Crook,,32610,43
218,Dated Jade Crook,,32617,48
219,Dated Copper Scepter,,32801,6
220,Dated Decorated Copper Scepter,,32802,11
221,Dated Brass Cudgel,,32812,17
222,Dated Silver Scepter,,32803,21
223,Dated Brand,,32807,23
224,Dated Decorated Silver Scepter,,32804,31
225,Dated Iron Cudgel,,32811,37
226,Dated Ornate Silver Scepter,,32805,41
227,Dated Wind Brand,,32808,43
228,Dated Earth Brand,,32809,43
229,Dated Lightning Brand,,32810,43
230,Dated Ice Brand,,32813,43
231,Dated Fire Brand,,32814,43
232,Dated Water Brand,,32815,43
233,Dated Bone Staff,,33001,5
234,Dated Decorated Bone Staff,,33002,15
235,Dated Horn Staff,,33003,25
236,Dated Decorated Horn Staff,,33003,35
237,Dated Square Maple Shield,,30017,5
238,Dated Bronze Hoplon,,30021,9
239,Dated Round Chestnut Shield,,30001,11
240,Dated Bronze Buckler,,30004,13
241,Dated Square Ash Shield,,30019,15
242,Dated Sheepskin Targe,,30007,17
243,Dated Bronze Pelta,,30022,19
244,Dated Warded Round Shield,,30011,21
245,Dated Ironclad Bronze Buckler,,30005,23
246,Dated Bronze Scutum,,30003,28
247,Dated Iron Hoplon,,30023,29
248,Dated Round Oak Shield,,30002,31
249,Dated Leather Targe,,30008,32
250,Dated Decorated Buckler,,30006,33
251,Dated Lantern Shield,,30015,34
252,Dated Iron Scutum,,30013,38
253,Dated Iron Pelta,,30024,39
254,Dated Serpent Shield,,30012,41
255,Dated Bladed Lantern Shield,,30016,44
256,Dated Raptorskin Targe,,30010,47
257,Dated Decorated Iron Scutum,,30014,48
258,Dated Bull Hoplon,,30025,49
259,Dated Bronze Saw,,35002,7
260,Dated Chocobotail Saw,,35003,12
261,Dated Fish Saw,,35003,17
262,Dated Iron Saw,,35004,22
263,Dated Bas-relief Iron Saw,,35006,32
264,Dated Crosscut Saw,,35007,37
265,Dated Iron Chocobotail Saw,,35005,42
266,Dated Bronze Claw Hammer,,35051,10
267,Dated Iron Claw Hammer,,35052,27
268,Dated Steel Claw Hammer,,35053,47
269,Dated Bronze Cross-pein Hammer,,35101,7
270,Dated Birdsbeak Hammer,,35103,12
271,Dated Fortified Birdsbeak Hammer,,35103,17
272,Dated Iron Cross-pein Hammer,,35102,22
273,Dated Crowsbeak Hammer,,35104,32
274,Dated Wrapped Crowsbeak Hammer,,35105,42
275,Dated Heavy Crowsbeak Hammer,,35107,47
276,Dated Bronze File,,35151,10
277,Dated Iron File,,35152,27
278,Dated Polished Iron File,,35152,37
279,Dated Bronze Doming Hammer,,35201,7
280,Dated Bronze Raising Hammer,,35204,12
281,Dated Tin Bronze Raising Hammer,,35204,17
282,Dated Iron Doming Hammer,,35202,22
283,Dated Iron Raising Hammer,,35205,32
284,Dated Wrapped Iron Raising Hammer,,35206,42
285,Dated Heavy-duty Iron Raising Hammer,,35206,47
286,Dated Bronze Pliers,,35251,10
287,Dated Iron Pliers,,35252,27
288,Dated Steel Pliers,,35255,37
289,Dated Bronze Chaser Hammer,,35302,7
290,Dated Bronze Ornamental Hammer,,35304,12
291,Dated Tin Bronze Ornamental Hammer,,35304,17
292,Dated Iron Chaser Hammer,,35303,22
293,Dated Fortified Iron Chaser Hammer,,35303,32
294,Dated Iron Ornamental Hammer,,35305,42
295,Dated Steel Chaser Hammer,,35306,47
296,Dated Mudstone Grinding Wheel,,35351,10
297,Dated Ragstone Grinding Wheel,,35352,27
298,Dated Siltstone Grinding Wheel,,35353,37
299,Dated Bronze Head Knife,,35401,7
300,Dated Brass Head Knife,,35402,12
301,Dated Heavy-duty Brass Head Knife,,35402,17
302,Dated Iron Round Knife,,35405,22
303,Dated Iron Head Knife,,35406,32
304,Dated Darksilver Head Knife,,35403,42
305,Dated Steel Round Knife,,35405,47
306,Dated Bronze Awl,,35451,10
307,Dated Iron Awl,,35452,27
308,Dated Steel Awl,,35453,37
309,Dated Bronze Needle,,35501,7
310,Dated Hedgemole Needle,,35509,12
311,Dated Iron Needle,,35502,22
312,Dated Silver Needle,,35507,32
313,Dated Steel Needle,,35503,37
314,Dated Thousand Needle,,35508,42
315,Dated Maple Spinning Wheel,,35551,10
316,Dated Elm Spinning Wheel,,35553,17
317,Dated Walnut Spinning Wheel,,35552,27
318,Dated Oak Spinning Wheel,,35554,47
319,Dated Copper Alembic,,35601,7
320,Dated Brass Alembic,,35602,12
321,Dated Tin Alembic,,35601,17
322,Dated Iron Alembic,,35603,22
323,Dated Conical Alembic,,35605,32
324,Dated Silver Alembic,,35607,42
325,Dated Thermal Alembic,,35606,47
326,Dated Bronze Mortar,,35651,10
327,Dated Iron Mortar,,35652,27
328,Dated Steel Mortar,,35655,37
329,Dated Bronze Skillet,,35701,7
330,Dated Iron Skillet,,35702,12
331,Dated White Skillet,,35708,17
332,Dated Royal Kitchens Skillet,,35703,22
333,Dated Iron Frypan,,35705,32
334,Dated Steel Skillet,,35707,37
335,Dated Bomb Frypan,,35706,42
336,Dated Bronze Culinary Knife,,35751,10
337,Dated Iron Culinary Knife,,35752,27
338,Dated Mythril Culinary Knife,,35753,47
339,Dated Bronze Pickaxe,,38001,7
340,Dated Plumed Bronze Pickaxe,,38004,12
341,Dated Oiled Bronze Pickaxe,,38008,17
342,Dated Iron Pickaxe,,38002,22
343,Dated Polished Iron Pickaxe,,38006,32
344,Dated Dodotail Pickaxe,,38007,37
345,Dated Iron Dolabra,,38005,42
346,Dated Bronze Sledgehammer,,38051,10
347,Dated Iron Sledgehammer,,38052,27
348,Dated Mythril Sledgehammer,,38054,47
349,Dated Bronze Hatchet,,38101,7
350,Dated Plumed Bronze Hatchet,,38105,12
351,Dated Oiled Bronze Hatchet,,38107,17
352,Dated Brass Hatchet,,38104,22
353,Dated Iron Hatchet,,38102,32
354,Dated Steel Hatchet,,38102,37
355,Dated Plumed Iron Hatchet,,38106,42
356,Dated Bronze Scythe,,38151,10
357,Dated Iron Scythe,,38152,27
358,Dated Steel Scythe,,38155,47
359,Dated Ash Fishing Rod,,38202,7
360,Dated Willow Fishing Rod,,38204,12
361,Dated Pine Fishing Rod,,38208,17
362,Dated Bamboo Fishing Rod,,38201,22
363,Dated Rattan Fishing Rod,,38205,32
364,Dated Yew Fishing Rod,,38206,42
365,Dated Horn Fishing Rod,,38209,47
366,Weathered Coif (Grey),,41546,1
367,Weathered Beret (Beige),,41070,1
368,Weathered Spectacles,,40898,1
369,Weathered Bandana,,41588,1
370,Weathered Sun Hat,,41041,1
371,Weathered Beach Hat (Blue),,41042,1
372,Dated Hempen Coif,,41526,1
373,Dated Hempen Coif (Brown),,41527,1
374,Dated Hempen Coif (Grey),,41528,1
375,Dated Hempen Coif (Beige),,41529,1
376,Dated Straw Hat,,41037,1
377,Dated Hempen Bandana,,41540,2
378,Dated Hempen Bandana (Beige),,41561,2
379,Dated Hempen Bandana (Brown),,41563,2
380,Dated Hempen Bandana (Grey),,41562,2
381,Dated Hempen Scarf,,41574,3
382,Dated Hempen Scarf (Grey),,41575,3
383,Dated Hempen Scarf (Beige),,41576,3
384,Dated Hempen Scarf (Brown),,41577,3
385,Dated Hempen Beret,,41001,4
386,Dated Hempen Beret (Brown),,41002,4
387,Dated Hempen Beret (Grey),,41003,4
388,Dated Hempen Beret (Beige),,41004,4
389,Dated Hempen Hat,,41015,6
390,Dated Hempen Hat (Brown),,41016,6
391,Dated Hempen Hat (Grey),,41017,6
392,Dated Hempen Hat (Beige),,41018,6
393,Dated Lauan Halfmask,,40407,7
394,Dated Walking Hat,,41038,7
395,Dated Hempen Turban,,41547,8
396,Dated Hempen Turban (Brown),,41548,8
397,Dated Hempen Turban (Grey),,41549,8
398,Dated Hempen Turban (Beige),,41550,8
399,Dated Sheepskin Calot,,41084,8
400,Dated Sheepskin Calot (Taupe),,41084,8
401,Dated Sheepskin Calot (Grey),,41084,8
402,Dated Hunting Hat (Brown),,41043,9
403,Dated Hunting Hat (Grey),,41044,9
404,Dated Hunting Hat (Beige),,41045,9
405,Dated Sheepskin Pot Helm,,40014,9
406,Dated Hempen Sugarloaf Hat (Brown),,41061,10
407,Dated Hempen Sugarloaf Hat (Grey),,41062,10
408,Dated Hempen Sugarloaf Hat (Beige),,41063,10
409,Dated Cotton Coif,,41530,11
410,Dated Cotton Coif (Red),,41531,11
411,Dated Cotton Coif (Yellow),,41532,11
412,Dated Cotton Coif (Green),,41533,11
413,Dated Cotton Coif (Blue),,41534,11
414,Dated Copper Spectacles,,40876,11
415,Dated Weathered Spectacles (Black),,40877,11
416,Dated Weathered Spectacles (Green),,40878,11
417,Dated Copper Circlet (Sunstone),,40576,12
418,Dated Copper Circlet (Lapis Lazuli),,40577,12
419,Dated Copper Circlet (Sphene),,40578,12
420,Dated Copper Circlet (Malachite),,40579,12
421,Dated Copper Circlet (Fluorite),,40580,12
422,Dated Copper Circlet (Danburite),,40581,12
423,Dated Cotton Bandana,,41564,12
424,Dated Cotton Bandana (Red),,41565,12
425,Dated Cotton Bandana (Yellow),,41566,12
426,Dated Cotton Bandana (Green),,41567,12
427,Dated Cotton Bandana (Blue),,41568,12
428,Dated Copper Barbut,,40008,13
429,Dated Cotton Scarf,,41578,13
430,Dated Cotton Scarf (Red),,41579,13
431,Dated Cotton Scarf (Yellow),,41580,13
432,Dated Cotton Scarf (Green),,41581,13
433,Dated Cotton Scarf (Blue),,41582,13
434,Dated Cotton Beret,,41005,14
435,Dated Cotton Beret (Green),,41006,14
436,Dated Cotton Beret (Red),,41007,14
437,Dated Cotton Beret (Yellow),,41008,14
438,Dated Cotton Beret (Blue),,41009,14
439,Dated Bronze Sallet,,40020,15
440,Dated Bronze Goggles,,40890,15
441,Dated Bronze Goggles (Yellow),,40884,15
442,Dated Bronze Goggles (Black),,40885,15
443,Dated Brass Magnifiers (Red),,40893,16
444,Dated Willow Halfmask,,40404,17
445,Dated Tarred Walking Hat,,41039,17
446,Dated Cotton Turban,,41551,18
447,Dated Cotton Turban (Red),,41552,18
448,Dated Cotton Turban (Yellow),,41553,18
449,Dated Cotton Turban (Green),,41554,18
450,Dated Cotton Turban (Blue),,41555,18
451,Dated Dodoskin Calot,,41084,18
452,Dated Dodoskin Calot (Black),,41084,18
453,Dated Trapper's Hat,,41046,19
454,Dated Trapper's Hat (Red),,41047,19
455,Dated Trapper's Hat (Yellow),,41048,19
456,Dated Trapper's Hat (Green),,41049,19
457,Dated Trapper's Hat (Blue),,41050,19
458,Dated Bronze Elmo,,40012,19
459,Dated Dodoskin Pot Helm,,40016,19
460,Dated Dodoskin Pot Helm (Black),,40017,19
461,Dated Cotton Sugarloaf Hat (Red),,41064,20
462,Dated Cotton Sugarloaf Hat (Green),,41065,20
463,Dated Cotton Sugarloaf Hat (Blue),,41066,20
464,Dated Canvas Coif,,41535,21
465,Dated Canvas Coif (Auburn),,41536,21
466,Dated Canvas Coif (Pink),,41537,21
467,Dated Canvas Coif (Brown),,41538,21
468,Dated Canvas Coif (Blue),,41539,21
469,Dated Brass Spectacles,,40879,21
470,Dated Brass Spectacles (Yellow),,40880,21
471,Dated Brass Circlet (Sunstone),,40582,22
472,Dated Brass Circlet (Lapis Lazuli),,40583,22
473,Dated Brass Circlet (Sphene),,40584,22
474,Dated Brass Circlet (Malachite),,40585,22
475,Dated Brass Circlet (Fluorite),,40586,22
476,Dated Brass Circlet (Danburite),,40587,22
477,Dated Canvas Bandana,,41569,22
478,Dated Canvas Bandana (Auburn),,41570,22
479,Dated Canvas Bandana (Pink),,41571,22
480,Dated Canvas Bandana (Brown),,41572,22
481,Dated Canvas Bandana (Blue),,41573,22
482,Dated Bronze Barbut,,40009,23
483,Dated Canvas Beret,,41010,24
484,Dated Canvas Beret (Auburn),,41011,24
485,Dated Canvas Beret (Pink),,41012,24
486,Dated Canvas Beret (Brown),,41013,24
487,Dated Canvas Beret (Blue),,41014,24
488,Dated Brass Preserves (Red),,40886,25
489,Dated Brass Preserves (Green),,40887,25
490,Dated Assault Sallet,,40021,25
491,Dated Canvas Hat,,41019,26
492,Dated Canvas Hat (Auburn),,41020,26
493,Dated Canvas Hat (Pink),,41021,26
494,Dated Canvas Hat (Brown),,41022,26
495,Dated Canvas Hat (Blue),,41023,26
496,Dated Iron Magnifiers (Red),,40894,26
497,Dated Oak Halfmask,,40405,27
498,Dated Bronze Chain Coif,,40024,27
499,Dated Fishing Hat,,41040,27
500,Dated Fishing Hat (Red),,41153,27
501,Dated Fishing Hat (Yellow),,41151,27
502,Dated Fishing Hat (Green),,41152,27
503,Dated Fishing Hat (Blue),,41150,27
504,Dated Leather Calot (Black),,41085,28
505,Dated Leather Calot (Ochre),,41085,28
506,Dated Leather Calot (Green),,41085,28
507,Dated Leather Calot (Red),,41085,28
508,Dated Tracker's Hat,,41051,29
509,Dated Tracker's Hat (Auburn),,41052,29
510,Dated Tracker's Hat (Pink),,41053,29
511,Dated Tracker's Hat (Brown),,41054,29
512,Dated Tracker's Hat (Blue),,41055,29
513,Dated Brass Elmo,,40013,29
514,Dated Leather Pot Helm (Black),,40078,29
515,Dated Leather Pot Helm (Ochre),,40077,29
516,Dated Leather Pot Helm (Green),,40075,29
517,Dated Leather Pot Helm (Red),,40076,29
518,Dated Canvas Wedge Cap,,41087,30
519,Dated Canvas Wedge Cap (Auburn),,41088,30
520,Dated Canvas Wedge Cap (Pink),,41089,30
521,Dated Canvas Wedge Cap (Brown),,41090,30
522,Dated Canvas Wedge Cap (Blue),,41091,30
523,Dated Velveteen Coif,,41541,31
524,Dated Velveteen Coif (Black),,41542,31
525,Dated Velveteen Coif (Red),,41543,31
526,Dated Velveteen Coif (Yellow),,41544,31
527,Dated Velveteen Coif (Green),,41545,31
528,Dated Silver Spectacles,,40881,31
529,Dated Silver Spectacles (Yellow),,40882,31
530,Dated Silver Circlet (Garnet),,40588,32
531,Dated Silver Circlet (Aquamarine),,40589,32
532,Dated Silver Circlet (Heliodor),,40590,32
533,Dated Silver Circlet (Peridot),,40591,32
534,Dated Silver Circlet (Amethyst),,40592,32
535,Dated Silver Circlet (Goshenite),,40593,32
536,Dated Iron Barbut,,40010,33
537,Dated Velveteen Scarf,,41583,33
538,Dated Velveteen Scarf (Black),,41585,33
539,Dated Velveteen Scarf (Red),,41587,33
540,Dated Velveteen Scarf (Yellow),,41584,33
541,Dated Velveteen Scarf (Green),,41586,33
542,Dated Velveteen Beret,,41032,34
543,Dated Velveteen Beret (Black),,41033,34
544,Dated Velveteen Beret (Red),,41034,34
545,Dated Velveteen Beret (Yellow),,41035,34
546,Dated Velveteen Beret (Green),,41036,34
547,Dated Iron Preserves (Red),,40888,35
548,Dated Iron Preserves (Green),,40889,35
549,Dated Iron Sallet,,40022,35
550,Dated Velveteen Hat,,41024,36
551,Dated Velveteen Hat (Black),,41025,36
552,Dated Velveteen Hat (Red),,41026,36
553,Dated Velveteen Hat (Yellow),,41027,36
554,Dated Velveteen Hat (Green),,41028,36
555,Dated Silver Magnifiers (Green),,40895,36
556,Dated Yew Halfmask,,40406,37
557,Dated Iron Chain Coif,,40025,37
558,Dated Bronze Celata,,40001,38
559,Dated Velveteen Turban,,41556,38
560,Dated Velveteen Turban (Black),,41557,38
561,Dated Velveteen Turban (Red),,41558,38
562,Dated Velveteen Turban (Yellow),,41559,38
563,Dated Velveteen Turban (Green),,41560,38
564,Dated Bowman's Hat,,41056,39
565,Dated Bowman's Hat (Black),,41057,39
566,Dated Bowman's Hat (Red),,41058,39
567,Dated Bowman's Hat (Yellow),,41059,39
568,Dated Bowman's Hat (Green),,41060,39
569,Dated Toadskin Pot Helm (Sunstone),,40069,39
570,Dated Toadskin Pot Helm (Lapis Lazuli),,40074,39
571,Dated Toadskin Pot Helm (Sphene),,40070,39
572,Dated Toadskin Pot Helm (Malachite),,40073,39
573,Dated Toadskin Pot Helm (Fluorite),,40072,39
574,Dated Toadskin Pot Helm (Danburite),,40071,39
575,Dated Velveteen Sugarloaf Hat (Black),,41067,40
576,Dated Velveteen Sugarloaf Hat (Red),,41068,40
577,Dated Velveteen Sugarloaf Hat (Green),,41069,40
578,Dated Velveteen Wedge Cap,,41092,40
579,Dated Velveteen Wedge Cap (Black),,41093,40
580,Dated Velveteen Wedge Cap (Red),,41094,40
581,Dated Velveteen Wedge Cap (Yellow),,41095,40
582,Dated Velveteen Wedge Cap (Green),,41096,40
583,Dated Darksilver Circlet (Garnet),,40594,42
584,Dated Darksilver Circlet (Aquamarine),,40595,42
585,Dated Darksilver Circlet (Heliodor),,40596,42
586,Dated Darksilver Circlet (Peridot),,40597,42
587,Dated Darksilver Circlet (Amethyst),,40598,42
588,Dated Darksilver Circlet (Goshenite),,40599,42
589,Dated Walnut Mask,,40409,42
590,Dated Visored Barbut,,40011,43
591,Dated Chef's Hat,,41079,43
592,Dated Chef's Hat (Black),,41080,43
593,Dated Chef's Hat (Red),,41081,43
594,Dated Chef's Hat (Yellow),,41082,43
595,Dated Chef's Hat (Green),,41083,43
